id,link,title,summary,description,strategy,activity_type,reward_value,start_date,end_date,dimensions
308494,https://limemates.limeade.com/one/Fake?cid=308494,Engage in Team Feedback,Feedback is the cornerstone of improvement. A study published in the Journal of Occupational and Organizational Psychology found that constructive feedback from colleagues can lead to higher job satisfaction and improved team dynamics. Participate in a team feedback session this month.,"Feedback is the cornerstone of improvement. A study published in the Journal of Occupational and Organizational Psychology found that constructive feedback from colleagues can lead to higher job satisfaction and improved team dynamics. By engaging in team feedback sessions, you not only understand others' perspectives but also foster a culture of continuous learning.",Participate in a team feedback session this month.,engage in team feedback,10,7/12/23,3/26/24,job satisfaction
774479,https://limemates.limeade.com/one/Fake?cid=774479,Seek Out New Projects,"Taking initiative in the workplace can have numerous benefits. According to a study in the Journal of Applied Psychology, employees who seek out new projects report higher levels of job satisfaction and feel more engaged in their roles. Propose a new project or initiative to your team.","Taking initiative in the workplace can have numerous benefits. According to a study in the Journal of Applied Psychology, employees who seek out new projects report higher levels of job satisfaction and feel more engaged in their roles. Proactive behavior can also lead to career advancements and recognition.",Propose a new project or initiative to your team.,seek out new projects,10,7/12/23,3/26/24,job satisfaction
307276,https://limemates.limeade.com/one/Fake?cid=307276,Celebrate Small Wins,"Celebrating small wins is more than just a feel-good activity. Teresa Amabile, a professor at Harvard Business School, found that recognizing small achievements can lead to increased motivation and job satisfaction. Acknowledge and celebrate small achievements at work.","Celebrating small wins is more than just a feel-good activity. Teresa Amabile, a professor at Harvard Business School, found that recognizing small achievements can lead to increased motivation and job satisfaction. It helps in building momentum and fosters a positive work environment.",Acknowledge and celebrate small achievements at work.,celebrate small wins,25,7/12/23,3/26/24,job satisfaction
202574,https://limemates.limeade.com/one/Fake?cid=202574,Connect with Colleagues,Building meaningful relationships at work is crucial. Research from Gallup indicates that having a close friend at work can increase job satisfaction by up to 50%. Connect with at least one colleague outside of work hours for a casual chat.,"Building meaningful relationships at work is crucial. Research from Gallup indicates that having a close friend at work can increase job satisfaction by up to 50%. Connecting with colleagues outside of work can lead to better collaboration, understanding, and a more cohesive work environment.",Connect with at least one colleague outside of work hours for a casual chat.,connect with colleagues,25,7/12/23,3/26/24,job satisfaction
551371,https://limemates.limeade.com/one/Fake?cid=551371,Take a New Course,"Continuous learning is the key to career advancement. A report by LinkedIn found that employees who invest time in learning are 47% less likely to be stressed, 39% more likely to feel productive and successful, and 23% more ready to take on additional responsibilities. Enroll in an online course related to your job and complete it.","Continuous learning is the key to career advancement. A report by LinkedIn found that employees who invest time in learning are 47% less likely to be stressed, 39% more likely to feel productive and successful, and 23% more ready to take on additional responsibilities.",Enroll in an online course related to your job and complete it.,take a new course,25,7/12/23,3/26/24,work growth
530129,https://limemates.limeade.com/one/Fake?cid=530129,Engage in Mentorship,"Mentorship has profound impacts on career growth. According to a survey by Forbes, 97% of individuals with mentors found them valuable. Find a mentor within or outside your organization and have at least two sessions.","Mentorship has profound impacts on career growth. According to a survey by Forbes, 97% of individuals with mentors found them valuable. Engaging in mentorship provides insights, knowledge, and perspectives that can shape your career trajectory.",Find a mentor within or outside your organization and have at least two sessions.,engage in mentorship,100,7/12/23,3/26/24,work growth
600744,https://limemates.limeade.com/one/Fake?cid=600744,Attend Workshops,"Workshops offer hands-on experiences and insights into specific areas. A study in the Journal of Workplace Learning found that attending workshops can lead to skill enhancement, better job performance, and increased confidence in one's abilities. Attend a workshop or seminar related to your job.","Workshops offer hands-on experiences and insights into specific areas. A study in the Journal of Workplace Learning found that attending workshops can lead to skill enhancement, better job performance, and increased confidence in one's abilities.",Attend a workshop or seminar related to your job.,attend workshops,50,7/12/23,3/26/24,work growth
764970,https://limemates.limeade.com/one/Fake?cid=764970,Participate in Skill Assessments,"Skill assessments are more than just tests; they're tools for personal growth. According to the Corporate Executive Board Company, regular skill assessments can lead to a 20% increase in employee performance and a 30% increase in the likelihood of retaining top talent. Participate in a skills assessment test and discuss results with your supervisor.","Skill assessments are more than just tests; they're tools for personal growth. According to the Corporate Executive Board Company, regular skill assessments can lead to a 20% increase in employee performance and a 30% increase in the likelihood of retaining top talent.",Participate in a skills assessment test and discuss results with your supervisor.,participate in skill assessments,50,7/12/23,3/26/24,work growth
693068,https://limemates.limeade.com/one/Fake?cid=693068,Seek Feedback on Progress,"Feedback, when used constructively, can be a powerful tool for growth. Research from the Harvard Business Review suggests that seeking feedback can lead to improved performance, better decision-making skills, and increased confidence. Seek feedback on your recent projects from colleagues and superiors.","Feedback, when used constructively, can be a powerful tool for growth. Research from the Harvard Business Review suggests that seeking feedback can lead to improved performance, better decision-making skills, and increased confidence.",Seek feedback on your recent projects from colleagues and superiors.,seek feedback on progress,50,7/12/23,3/26/24,work growth
353568,https://limemates.limeade.com/one/Fake?cid=353568,Set Boundaries,"Work-life balance is not just a buzzword; it's essential for well-being. The World Health Organization found that poor work-life balance can lead to adverse health outcomes, including burnout. Set specific work hours and adhere to them for a week.","Work-life balance is not just a buzzword; it's essential for well-being. The World Health Organization found that poor work-life balance can lead to adverse health outcomes, including burnout. By setting boundaries, you ensure that you have time for personal pursuits, leading to a healthier, happier life.",Set specific work hours and adhere to them for a week.,set boundaries,100,7/12/23,3/26/24,work-life balance
322398,https://limemates.limeade.com/one/Fake?cid=322398,Engage in Hobbies,"Engaging in hobbies and personal interests has been linked to lower stress levels, better mental health, and improved creativity. A study in the Journal of Occupational and Organizational Psychology found that employees who engaged in creative activities outside work were more resilient and performed better at their jobs. Engage in a hobby or activity outside of work for an hour this week.","Engaging in hobbies and personal interests has been linked to lower stress levels, better mental health, and improved creativity. A study in the Journal of Occupational and Organizational Psychology found that employees who engaged in creative activities outside work were more resilient and performed better at their jobs.",Engage in a hobby or activity outside of work for an hour this week.,engage in hobbies,10,7/12/23,3/26/24,work-life balance
